Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at
148989668050,2025/06/12 08:40:00 PM,2025/06/12,20:40,2025,Thursday,2025/06/12 08:40:00 PM,1489896,250328874,251633087,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Open or Active,08TH ST \ RINGOLD ST,24267000,Southern,South of Market,6,6,37.77455139160156,-122.4095230102539,POINT (-122.40952301 37.774551392),2025/06/14 09:37:39 AM,2025/06/15 09:53:25 AM
149119868060,2025/06/19 05:46:00 AM,2025/06/19,05:46,2025,Thursday,2025/06/19 05:46:00 AM,1491198,250340470,251700373,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Cite or Arrest Adult,JESSIE ST \ MINT PLZ \ MINT ST,24866000,Tenderloin,South of Market,6,6,37.78261184692383,-122.40769958496094,POINT (-122.407699585 37.782611847),2025/06/20 09:37:31 AM,2025/06/21 09:52:45 AM
145270468069,2025/01/07 08:06:00 PM,2025/01/07,20:06,2025,Tuesday,2025/01/07 08:07:00 PM,1452704,250014158,250073197,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,6,37.78070068359375,-122.40392303466797,POINT (-122.403923035 37.780700684),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
145553768050,2025/01/18 03:00:00 PM,2025/01/18,15:00,2025,Saturday,2025/01/18 03:01:00 PM,1455537,250035405,250181925,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,07TH ST \ CHARLES J BRENHAM PL \ MARKET ST,30742000,Tenderloin,South of Market,6,6,37.780479431152344,-122.41251373291016,POINT (-122.412513733 37.780479431),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
145576868050,2025/01/19 06:08:00 PM,2025/01/19,18:08,2025,Sunday,2025/01/19 06:15:00 PM,1455768,250037332,250192286,IS,Initial Supplement,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,06TH ST \ HARRISON ST,23919000,Southern,South of Market,6,6,37.77727127075195,-122.40406799316406,POINT (-122.404067993 37.777271271),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
145592268050,2025/01/19 04:08:00 PM,2025/01/19,16:08,2025,Sunday,2025/01/20 11:00:00 AM,1455922,250037332,250192286,IS,Initial Supplement,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,06TH ST \ HARRISON ST,23919000,Southern,South of Market,6,6,37.77727127075195,-122.40406799316406,POINT (-122.404067993 37.777271271),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
145697868069,2025/01/24 09:41:00 PM,2025/01/24,21:41,2025,Friday,2025/01/24 10:17:00 PM,1456978,250048000,250243490,II,Initial,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Open or Active,11TH ST \ 13TH ST \ BRYANT ST \ DIVISION ST,24216000,Southern,South of Market,6,6,37.769412994384766,-122.41093444824219,POINT (-122.410934448 37.769412994),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
145722068069,2025/01/26 02:21:00 AM,2025/01/26,02:21,2025,Sunday,2025/01/26 02:21:00 AM,1457220,250049923,250260222,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,FOLSOM ST \ HALLAM ST,24275000,Southern,South of Market,6,6,37.77595138549805,-122.40884399414062,POINT (-122.408843994 37.775951385),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
147517268069,2025/04/09 07:44:00 PM,2025/04/09,19:44,2025,Wednesday,2025/04/09 07:44:00 PM,1475172,250200658,250992916,II,Initial,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,04TH ST \ STILLMAN ST,28064000,Southern,South of Market,6,6,37.77997970581055,-122.39859771728516,POINT (-122.398597717 37.779979706),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148282568060,2025/05/12 01:06:00 PM,2025/05/12,13:06,2025,Monday,2025/05/12 01:06:00 PM,1482825,250262335,251301402,IS,Initial Supplement,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,HOWARD ST \ RUSS ST,24287000,Southern,South of Market,6,6,37.77886199951172,-122.40827178955078,POINT (-122.40827179 37.778862),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148347668060,2025/05/14 12:45:00 PM,2025/05/14,12:45,2025,Wednesday,2025/05/14 10:35:00 PM,1483476,250271784,251343101,IS,Initial Supplement,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,10TH ST \ FOLSOM ST,24233000,Tenderloin,South of Market,6,6,37.77281188964844,-122.41282653808594,POINT (-122.412826538 37.77281189),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148615968050,2025/05/27 05:14:00 AM,2025/05/27,05:14,2025,Tuesday,2025/05/27 05:18:00 AM,1486159,250295104,251470358,IS,Initial Supplement,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Open or Active,10TH ST \ HARRISON ST,24206000,Southern,South of Market,6,6,37.77157974243164,-122.4112777709961,POINT (-122.411277771 37.771579742),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148630368050,2025/05/27 05:18:00 AM,2025/05/27,05:18,2025,Tuesday,2025/05/27 06:44:00 AM,1486303,250295104,251470358,IS,Initial Supplement,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,10TH ST \ HARRISON ST,24206000,Southern,South of Market,6,6,37.77157974243164,-122.4112777709961,POINT (-122.411277771 37.771579742),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148637168050,2025/05/27 05:13:00 AM,2025/05/27,05:13,2025,Tuesday,2025/05/27 05:14:00 AM,1486371,250295104,251470358,IS,Initial Supplement,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,10TH ST \ HARRISON ST,24206000,Southern,South of Market,6,6,37.77157974243164,-122.4112777709961,POINT (-122.411277771 37.771579742),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148676568050,2025/05/29 11:38:00 AM,2025/05/29,11:38,2025,Thursday,2025/05/29 11:43:00 AM,1486765,250300208,251491396,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,08TH ST \ STEVENSON ST,24327000,Tenderloin,South of Market,6,6,37.77824020385742,-122.41414642333984,POINT (-122.414146423 37.778240204),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148740268060,2025/05/30 11:47:00 PM,2025/05/30,23:47,2025,Friday,2025/05/30 11:47:00 PM,1487402,250304028,251503627,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,04TH ST \ ELLIS ST \ MARKET ST \ STOCKTON ST,24892000,Central,South of Market,6,6,37.785743713378906,-122.40583038330078,POINT (-122.405830383 37.785743713),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
148817868050,2025/06/04 07:36:00 PM,2025/06/04,19:36,2025,Wednesday,2025/06/04 07:36:00 PM,1488178,250313041,251552997,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,05TH ST \ CLARA ST,23910000,Southern,South of Market,6,6,37.779457092285156,-122.40237426757812,POINT (-122.402374268 37.779457092),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
135537868050,2024/01/11 07:20:00 PM,2024/01/11,19:20,2024,Thursday,2024/01/11 07:57:00 PM,1355378,240024571,240112864,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,MISSION ST \ WASHBURN ST,24417000,Southern,South of Market,6,6,37.7758903503418,-122.41513061523438,POINT (-122.415130615 37.77589035),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
135828468050,2024/01/22 07:35:00 AM,2024/01/22,07:35,2024,Monday,2024/01/22 04:51:00 PM,1358284,240047987,240222346,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Open or Active,06TH ST \ TEHAMA ST,24280000,Southern,South of Market,6,6,37.77931594848633,-122.40663146972656,POINT (-122.40663147 37.779315948),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136121868060,2024/02/01 10:16:00 PM,2024/02/01,22:16,2024,Thursday,2024/02/01 10:50:00 PM,1361218,240072304,240323184,IS,Initial Supplement,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,07TH ST \ CLEVELAND ST,24257000,Southern,South of Market,6,6,37.77630615234375,-122.40728759765625,POINT (-122.407287598 37.776306152),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136228068060,2024/02/06 01:46:00 PM,2024/02/06,13:46,2024,Tuesday,2024/02/06 02:19:00 PM,1362280,240080915,240371887,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,10TH ST \ HARRISON ST,24206000,Southern,South of Market,6,6,37.77157974243164,-122.4112777709961,POINT (-122.411277771 37.771579742),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136285668069,2024/02/08 04:56:00 AM,2024/02/08,04:56,2024,Thursday,2024/02/08 04:57:00 AM,1362856,240084434,240390356,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Open or Active,06TH ST \ BRYANT ST,23897000,Southern,South of Market,6,6,37.776039123535156,-122.40252685546875,POINT (-122.402526855 37.776039124),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136534368069,2024/02/17 12:53:00 AM,2024/02/17,00:53,2024,Saturday,2024/02/17 12:53:00 AM,1365343,240105494,240480101,II,Initial,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,08TH ST \ MISSION ST,24311000,Southern,South of Market,6,6,37.77745819091797,-122.41315460205078,POINT (-122.413154602 37.777458191),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136601068069,2024/02/19 07:00:00 PM,2024/02/19,19:00,2024,Monday,2024/02/19 07:00:00 PM,1366010,240105494,240480101,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,08TH ST \ MISSION ST,24311000,Southern,South of Market,6,6,37.77745819091797,-122.41315460205078,POINT (-122.413154602 37.777458191),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136912768060,2024/02/29 11:38:00 PM,2024/02/29,23:38,2024,Thursday,2024/02/29 11:41:00 PM,1369127,240135736,240603432,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Cite or Arrest Adult,04TH ST \ CLARA ST,23907000,Southern,South of Market,6,6,37.78121566772461,-122.400146484375,POINT (-122.400146484 37.781215668),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
