CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Analysis Neighborhood,Police District,Latitude,Longitude,Point,point_geom,Source,data_as_of,data_loaded_at,Year,Month,DayOfWeek,Location,lat_round,lon_round
101000441195,2024-07-26 11:59:34,07/29/2024 08:05:50 AM,07/29/2024 08:05:50 AM,Closed,"Case Resolved - Please refer to Traffic Signal Shop complaint report 24-2227. Restored three color operation, repaired  wires, re-aimed Southwest corner pedestrian signal, APS maintenance/repair.",MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION MISSION ST, 7TH ST, SAN FRANCISCO, CA 94103",MISSION ST,6,South of Market,South of Market,SOUTHERN,37.7792117409,-122.4109364239,"(37.7792117409, -122.4109364239)",POINT (-122.410936424 37.779211741),Phone,2024/08/08 06:00:00 AM,2024/09/11 05:09:50 PM,2024,7,Friday,"37.7792117409,-122.4109364239",37.779,-122.411
101000340682,2024-07-06 09:13:24,07/06/2024 03:05:58 PM,07/06/2024 03:05:58 PM,Closed,Resolved Complaint # 24-2053,MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION GOLDEN GATE AVE, TAYLOR ST, SAN FRANCISCO, CA 94102",GOLDEN GATE AVE,6,Tenderloin,South of Market,TENDERLOIN,37.7822305956,-122.4102921359,"(37.7822305956, -122.4102921359)",POINT (-122.410292136 37.782230596),Phone,2024/07/16 06:00:00 AM,2024/09/11 05:09:50 PM,2024,7,Saturday,"37.7822305956,-122.4102921359",37.782,-122.41
101000438804,2024-07-25 22:24:32,07/26/2024 06:29:26 AM,07/26/2024 06:29:26 AM,Closed,Case Resolved - This case was assigned to Traffic Signal Complaint 24-2220,MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION 4TH ST, HARRISON ST, SAN FRANCISCO, CA 94107",4TH ST,6,South of Market,South of Market,SOUTHERN,37.7807914872,-122.3996161961,"(37.7807914872, -122.3996161961)",POINT (-122.399616196 37.780791487),Phone,2024/08/05 06:00:00 AM,2024/09/11 05:09:50 PM,2024,7,Thursday,"37.7807914872,-122.3996161961",37.781,-122.4
101000439225,2024-07-26 06:46:34,07/26/2024 07:20:18 AM,07/26/2024 07:20:19 AM,Closed,"Case Resolved - Please refer to Traffic Signal Shop complaint reports 24-2210 FU, 24-2210FUA, 24-2220, 24-2220 FU",MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION 4TH ST, HARRISON ST, SAN FRANCISCO, CA 94107",4TH ST,6,South of Market,South of Market,SOUTHERN,37.7807914872,-122.3996161961,"(37.7807914872, -122.3996161961)",POINT (-122.399616196 37.780791487),Phone,2024/08/05 06:00:00 AM,2024/09/11 05:09:50 PM,2024,7,Friday,"37.7807914872,-122.3996161961",37.781,-122.4
101000561656,2024-08-19 10:36:03,08/28/2024 09:55:09 AM,08/28/2024 09:55:09 AM,Closed,Case Resolved,Library,Damage Property,traffic_signal,,"73 WASHBURN ST, SAN FRANCISCO, CA 94103",WASHBURN ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.77505932917832,-122.41395788721783,"(37.77505932917832, -122.41395788721783)",POINT (-122.413957887 37.775059329),Mobile,2024/09/07 06:00:00 AM,2024/09/11 05:09:50 PM,2024,8,Monday,"37.77505932917832,-122.41395788721783",37.775,-122.414
101000366677,2024-07-11 12:03:23,07/12/2024 07:52:52 AM,07/12/2024 07:52:52 AM,Closed,"Case Resolved - Please refer to Traffic Signal Shop complaint report 24-2092.  Replaced one pedestrian module, re-aimed three pedestrian signals.",MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION 8TH ST, BRYANT ST, SAN FRANCISCO, CA 94103",8TH ST,6,Showplace Square,South of Market,SOUTHERN,37.7725262934,-122.4069681928,"(37.7725262934, -122.4069681928)",POINT (-122.406968193 37.772526293),Phone,2024/07/22 06:00:00 AM,2024/09/11 05:09:50 PM,2024,7,Thursday,"37.7725262934,-122.4069681928",37.773,-122.407
101000305923,2024-06-29 07:25:29,07/01/2024 08:14:19 AM,07/01/2024 08:14:19 AM,Closed,Case Resolved - Please refer to Traffic Signal Shop complaint report 24-2009 of 06292024.  No problem found re: stuck intersection.,MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION BRANNAN ST, 5TH ST, SAN FRANCISCO, CA 94107",BRANNAN ST,6,South of Market,South of Market,SOUTHERN,37.7765682569,-122.3987554696,"(37.7765682569, -122.3987554696)",POINT (-122.39875547 37.776568257),Phone,2024/07/11 06:00:00 AM,2024/09/11 05:09:50 PM,2024,6,Saturday,"37.7765682569,-122.3987554696",37.777,-122.399
101000569197,2024-08-20 13:40:55,08/21/2024 09:01:23 AM,08/21/2024 09:01:23 AM,Closed,Case Resolved - Please refer to Traffic Signal Shop complaint report 24-2464.,MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION 7TH ST, BRYANT ST, SAN FRANCISCO, CA 94103",7TH ST,6,South of Market,South of Market,SOUTHERN,37.7742809188,-122.4047486028,"(37.7742809188, -122.4047486028)",POINT (-122.404748603 37.774280919),Phone,2024/08/31 06:00:00 AM,2024/09/11 05:09:50 PM,2024,8,Tuesday,"37.7742809188,-122.4047486028",37.774,-122.405
101000441348,2024-07-26 12:18:03,07/29/2024 08:05:40 AM,07/29/2024 08:05:40 AM,Closed,"Case Resolved - Please refer to Traffic Signal Shop complaint report 24-2227. Restored three color operation, repaired  wires, re-aimed Southwest corner pedestrian signal, APS maintenance/repair.",MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION 7TH ST, MISSION ST, SAN FRANCISCO, CA 94103",7TH ST,6,South of Market,South of Market,SOUTHERN,37.7792117409,-122.4109364239,"(37.7792117409, -122.4109364239)",POINT (-122.410936424 37.779211741),Phone,2024/08/08 06:00:00 AM,2024/09/11 05:09:50 PM,2024,7,Friday,"37.7792117409,-122.4109364239",37.779,-122.411
101000261716,2024-06-20 11:42:43,06/21/2024 08:00:28 AM,06/21/2024 08:00:28 AM,Closed,Case Resolved - Please refer to Traffic Signal Shop complaint report 24-1919.  Replaced pedestrian module.,MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION 6TH ST, BRYANT ST, SAN FRANCISCO, CA 94103",6TH ST,6,South of Market,South of Market,SOUTHERN,37.7760394242,-122.4025241635,"(37.7760394242, -122.4025241635)",POINT (-122.402524164 37.776039424),Phone,2024/07/01 06:00:00 AM,2024/09/11 05:09:50 PM,2024,6,Thursday,"37.7760394242,-122.4025241635",37.776,-122.403
