Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District_accident,Analysis Neighborhood_accident,Supervisor District_accident,Supervisor District 2012,Latitude_accident,Longitude_accident,Point_accident,data_as_of_accident,data_loaded_at_accident,Year_accident,Month_accident,DayOfWeek_accident,Location_accident,lat_round,lon_round,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District_complaint,Neighborhood,Analysis Neighborhood_complaint,Police District_complaint,Latitude_complaint,Longitude_complaint,Point_complaint,point_geom,Source,data_as_of_complaint,data_loaded_at_complaint,Year_complaint,Month_complaint,DayOfWeek_complaint,Location_complaint
149119868060,2025-06-19 05:46:00,2025-06-19,05:46:00,2025,Thursday,2025-06-19 05:46:00,1491198,250340470,251700373.0,II,Initial,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Cite or Arrest Adult,JESSIE ST \ MINT PLZ \ MINT ST,24866000,Tenderloin,South of Market,6,6,37.78261184692383,-122.40769958496094,POINT (-122.407699585 37.782611847),2025/06/20 09:37:31 AM,2025/06/21 09:52:45 AM,2025,6,Thursday,"37.78261184692383,-122.40769958496094",37.783,-122.408,101001416417,2025-02-04 10:48:42,03/07/2025 12:00:00 AM,03/07/2025 02:08:10 PM,Closed,Case Resolved - Fallen DPT sign -  X1104: 1270629,PW - Street Use and Mapping,Damage Property,traffic_signal,,"INTERSECTION MINT PLZ, MINT ST, SAN FRANCISCO, CA 94103",MINT PLZ,6,SOUTH OF MARKET,South of Market,TENDERLOIN,37.78264229148782,-122.4077719822526,"(37.78264229148782, -122.4077719822526)",POINT (-122.407771982 37.782642291),Mobile,2025/03/17 06:00:00 AM,2025/03/18 08:59:54 AM,2025,2,Tuesday,"37.78264229148782,-122.4077719822526"
145270468069,2025-01-07 20:06:00,2025-01-07,20:06:00,2025,Tuesday,2025-01-07 20:07:00,1452704,250014158,250073197.0,IS,Initial Supplement,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,6,37.78070068359375,-122.40392303466795,POINT (-122.403923035 37.780700684),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2025,1,Tuesday,"37.78070068359375,-122.40392303466795",37.781,-122.404,101001832922,2025-04-28 07:04:31,04/28/2025 09:01:08 AM,04/28/2025 09:01:15 AM,Closed,Case is Invalid - Damaged call box is on private property; the Renaissance Entrepreneurship Center will need to be contacted directly to request repair.,311 - Supervisor,Damage Property,traffic_signal,,"275 5TH ST, SAN FRANCISCO, CA 94103",5TH ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.78062629595135,-122.4036904207991,"(37.78062629595135, -122.4036904207991)",POINT (-122.403690421 37.780626296),Mobile,2025/05/08 01:00:00 AM,2025/05/08 02:58:38 AM,2025,4,Monday,"37.78062629595135,-122.4036904207991"
137684868069,2024-03-26 08:54:00,2024-03-26,08:54:00,2024,Tuesday,2024-03-26 08:59:00,1376848,240191540,240860801.0,IS,Initial Supplement,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,6,37.78070068359375,-122.40392303466795,POINT (-122.403923035 37.780700684),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2024,3,Tuesday,"37.78070068359375,-122.40392303466795",37.781,-122.404,101001832922,2025-04-28 07:04:31,04/28/2025 09:01:08 AM,04/28/2025 09:01:15 AM,Closed,Case is Invalid - Damaged call box is on private property; the Renaissance Entrepreneurship Center will need to be contacted directly to request repair.,311 - Supervisor,Damage Property,traffic_signal,,"275 5TH ST, SAN FRANCISCO, CA 94103",5TH ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.78062629595135,-122.4036904207991,"(37.78062629595135, -122.4036904207991)",POINT (-122.403690421 37.780626296),Mobile,2025/05/08 01:00:00 AM,2025/05/08 02:58:38 AM,2025,4,Monday,"37.78062629595135,-122.4036904207991"
137703768069,2024-03-26 08:54:00,2024-03-26,08:54:00,2024,Tuesday,2024-03-27 11:30:00,1377037,240191540,240860801.0,IS,Initial Supplement,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,6,37.78070068359375,-122.40392303466795,POINT (-122.403923035 37.780700684),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2024,3,Tuesday,"37.78070068359375,-122.40392303466795",37.781,-122.404,101001832922,2025-04-28 07:04:31,04/28/2025 09:01:08 AM,04/28/2025 09:01:15 AM,Closed,Case is Invalid - Damaged call box is on private property; the Renaissance Entrepreneurship Center will need to be contacted directly to request repair.,311 - Supervisor,Damage Property,traffic_signal,,"275 5TH ST, SAN FRANCISCO, CA 94103",5TH ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.78062629595135,-122.4036904207991,"(37.78062629595135, -122.4036904207991)",POINT (-122.403690421 37.780626296),Mobile,2025/05/08 01:00:00 AM,2025/05/08 02:58:38 AM,2025,4,Monday,"37.78062629595135,-122.4036904207991"
145576868050,2025-01-19 18:08:00,2025-01-19,18:08:00,2025,Sunday,2025-01-19 18:15:00,1455768,250037332,250192286.0,IS,Initial Supplement,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,06TH ST \ HARRISON ST,23919000,Southern,South of Market,6,6,37.77727127075195,-122.40406799316406,POINT (-122.404067993 37.777271271),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2025,1,Sunday,"37.77727127075195,-122.40406799316406",37.777,-122.404,101000577824,2024-08-22 08:25:35,08/28/2024 02:22:00 PM,08/29/2024 02:05:21 AM,Closed,"Case Resolved - 8.23.24: Inspected location and placed cone over hazard.  jd  - X1104 # 1260690 DTIS,",PW - Street Use and Mapping,Damage Property,traffic_signal,,"400 6TH ST, SAN FRANCISCO, CA 94103",6TH ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.777132455239865,-122.40407921552568,"(37.777132455239865, -122.40407921552567)",POINT (-122.404079216 37.777132455),Mobile,2024/09/08 06:00:00 AM,2024/09/11 05:09:50 PM,2024,8,Thursday,"37.777132455239865,-122.40407921552568"
145592268050,2025-01-19 16:08:00,2025-01-19,16:08:00,2025,Sunday,2025-01-20 11:00:00,1455922,250037332,250192286.0,IS,Initial Supplement,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,06TH ST \ HARRISON ST,23919000,Southern,South of Market,6,6,37.77727127075195,-122.40406799316406,POINT (-122.404067993 37.777271271),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2025,1,Sunday,"37.77727127075195,-122.40406799316406",37.777,-122.404,101000577824,2024-08-22 08:25:35,08/28/2024 02:22:00 PM,08/29/2024 02:05:21 AM,Closed,"Case Resolved - 8.23.24: Inspected location and placed cone over hazard.  jd  - X1104 # 1260690 DTIS,",PW - Street Use and Mapping,Damage Property,traffic_signal,,"400 6TH ST, SAN FRANCISCO, CA 94103",6TH ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.777132455239865,-122.40407921552568,"(37.777132455239865, -122.40407921552567)",POINT (-122.404079216 37.777132455),Mobile,2024/09/08 06:00:00 AM,2024/09/11 05:09:50 PM,2024,8,Thursday,"37.777132455239865,-122.40407921552568"
140780468050,2024-06-30 16:48:00,2024-06-30,16:48:00,2024,Sunday,2024-07-17 14:33:00,1407804,240407535,241822191.0,IS,Initial Supplement,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,06TH ST \ HARRISON ST,23919000,Southern,South of Market,6,6,37.77727127075195,-122.40406799316406,POINT (-122.404067993 37.777271271),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2024,6,Sunday,"37.77727127075195,-122.40406799316406",37.777,-122.404,101000577824,2024-08-22 08:25:35,08/28/2024 02:22:00 PM,08/29/2024 02:05:21 AM,Closed,"Case Resolved - 8.23.24: Inspected location and placed cone over hazard.  jd  - X1104 # 1260690 DTIS,",PW - Street Use and Mapping,Damage Property,traffic_signal,,"400 6TH ST, SAN FRANCISCO, CA 94103",6TH ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.777132455239865,-122.40407921552568,"(37.777132455239865, -122.40407921552567)",POINT (-122.404079216 37.777132455),Mobile,2024/09/08 06:00:00 AM,2024/09/11 05:09:50 PM,2024,8,Thursday,"37.777132455239865,-122.40407921552568"
145697868069,2025-01-24 21:41:00,2025-01-24,21:41:00,2025,Friday,2025-01-24 22:17:00,1456978,250048000,250243490.0,II,Initial,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Open or Active,11TH ST \ 13TH ST \ BRYANT ST \ DIVISION ST,24216000,Southern,South of Market,6,6,37.769412994384766,-122.4109344482422,POINT (-122.410934448 37.769412994),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2025,1,Friday,"37.769412994384766,-122.4109344482422",37.769,-122.411,101000784038,2024-09-30 12:39:07,09/30/2024 02:03:08 PM,09/30/2024 02:03:08 PM,Closed,"Case Resolved - PG&E power outage, PG&E to restore power.",MTA - Signal,Damage Property,traffic_signal,,"INTERSECTION 11TH ST, BRYANT ST, SAN FRANCISCO, CA 94103",11TH ST,6,Mission,South of Market,MISSION,37.7694111246,-122.4109310143,"(37.7694111246, -122.4109310143)",POINT (-122.410931014 37.769411125),Phone,2024/10/10 06:00:00 AM,2024/10/11 08:57:42 AM,2024,9,Monday,"37.7694111246,-122.4109310143"
148282568060,2025-05-12 13:06:00,2025-05-12,13:06:00,2025,Monday,2025-05-12 13:06:00,1482825,250262335,251301402.0,IS,Initial Supplement,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,HOWARD ST \ RUSS ST,24287000,Southern,South of Market,6,6,37.77886199951172,-122.40827178955078,POINT (-122.40827179 37.778862),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2025,5,Monday,"37.77886199951172,-122.40827178955078",37.779,-122.408,101000738787,2024-09-21 20:36:11,09/23/2024 08:52:48 AM,09/23/2024 08:52:48 AM,Closed,"Case Resolved - Please refer to Traffic Signal Shop complaint report 24-2808 FU.  Repaired wires,",MTA - Traffic Signal,Damage Property,traffic_signal,,"INTERSECTION HOWARD ST, RUSS ST, SAN FRANCISCO, CA 94103",HOWARD ST,6,South of Market,South of Market,SOUTHERN,37.7788607251,-122.4082715349,"(37.7788607251, -122.4082715349)",POINT (-122.408271535 37.778860725),Phone,2024/10/03 06:00:00 AM,2024/10/04 08:54:42 AM,2024,9,Saturday,"37.7788607251,-122.4082715349"
148282568060,2025-05-12 13:06:00,2025-05-12,13:06:00,2025,Monday,2025-05-12 13:06:00,1482825,250262335,251301402.0,IS,Initial Supplement,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,HOWARD ST \ RUSS ST,24287000,Southern,South of Market,6,6,37.77886199951172,-122.40827178955078,POINT (-122.40827179 37.778862),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM,2025,5,Monday,"37.77886199951172,-122.40827178955078",37.779,-122.408,101002078591,2025-06-12 07:39:52,06/17/2025 12:59:50 PM,06/17/2025 12:59:50 PM,Closed,Case Resolved - TSIG25-2470,MTA - Signal,Damage Property,traffic_signal,,"100 RUSS ST, SAN FRANCISCO, CA 94103",RUSS ST,6,SOUTH OF MARKET,South of Market,SOUTHERN,37.778729101702005,-122.40823449539756,"(37.778729101702005, -122.40823449539755)",POINT (-122.408234495 37.778729102),Mobile,2025/06/24 01:00:00 AM,2025/06/24 02:55:17 AM,2025,6,Thursday,"37.778729101702005,-122.40823449539756"
